Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-1.000000,,yPosition,-1.800000,,yPosition,-1.820000,,,

TIME,CH1,CH2,CH3,,TIME,MATH1
-1.94720000e-06,-1.01125000e+01,1.17726562e+03,-1.00000000e+00,,-1.94720000e-06,-8.11086502e-05
-1.94560000e-06,-1.01250000e+01,1.17992188e+03,-1.53125000e+00,,-1.94560000e-06,-8.34958701e-05
-1.94400000e-06,-1.01093750e+01,1.17414062e+03,-6.40625000e-01,,-1.94400000e-06,-8.55430189e-05
-1.94240000e-06,-1.01281250e+01,1.17351562e+03,-1.31250000e+00,,-1.94240000e-06,-8.73769604e-05
-1.94080000e-06,-1.01515625e+01,1.17601562e+03,-9.37500000e-01,,-1.94080000e-06,-8.94911645e-05
-1.93920000e-06,-1.00828125e+01,1.17570312e+03,1.71875000e-01,,-1.93920000e-06,-9.02115135e-05
-1.93760000e-06,-1.01343750e+01,1.17671875e+03,-1.35937500e+00,,-1.93760000e-06,-9.13295371e-05
-1.93600000e-06,-1.01359375e+01,1.18000000e+03,-8.12500000e-01,,-1.93600000e-06,-9.33762203e-05
-1.93440000e-06,-1.01718750e+01,1.17929688e+03,-1.43750000e+00,,-1.93440000e-06,-9.54994102e-05
-1.93280000e-06,-1.01406250e+01,1.17617188e+03,-1.40625000e+00,,-1.93280000e-06,-9.81787962e-05
-1.93120000e-06,-1.00671875e+01,1.17976562e+03,-1.01562500e+00,,-1.93120000e-06,-1.00460551e-04
-1.92960000e-06,-1.00875000e+01,1.17859375e+03,-3.12500000e-01,,-1.92960000e-06,-1.01713762e-04
-1.92800000e-06,-1.00734375e+01,1.17835938e+03,-7.65625000e-01,,-1.92800000e-06,-1.02730155e-04
-1.92640000e-06,-1.01875000e+01,1.17625000e+03,-2.50000000e-01,,-1.92640000e-06,-1.03687147e-04
-1.92480000e-06,-1.01812500e+01,1.17945312e+03,-5.78125000e-01,,-1.92480000e-06,-1.04467894e-04
-1.92320000e-06,-1.01437500e+01,1.17382812e+03,-1.12500000e+00,,-1.92320000e-06,-1.06069834e-04
-1.92160000e-06,-1.01859375e+01,1.18117188e+03,-9.68750000e-01,,-1.92160000e-06,-1.08041684e-04
-1.92000000e-06,-1.01296875e+01,1.17796875e+03,-9.53125000e-01,,-1.92000000e-06,-1.09855297e-04
-1.91840000e-06,-1.01781250e+01,1.17765625e+03,-7.96875000e-01,,-1.91840000e-06,-1.11504254e-04
-1.91680000e-06,-1.01453125e+01,1.18265625e+03,-5.93750000e-01,,-1.91680000e-06,-1.12816771e-04
-1.91520000e-06,-1.01218750e+01,1.17757812e+03,-1.56250000e+00,,-1.91520000e-06,-1.14850503e-04
-1.91360000e-06,-1.01609375e+01,1.18046875e+03,-6.25000000e-01,,-1.91360000e-06,-1.16912714e-04
-1.91200000e-06,-1.01546875e+01,1.17882812e+03,-1.03125000e+00,,-1.91200000e-06,-1.18475480e-04
-1.91040000e-06,-1.00765625e+01,1.17656250e+03,-1.35937500e+00,,-1.91040000e-06,-1.20727527e-04
-1.90880000e-06,-1.00843750e+01,1.17734375e+03,-1.09375000e-01,,-1.90880000e-06,-1.22110054e-04
-1.90720000e-06,-1.01546875e+01,1.17789062e+03,-1.34375000e+00,,-1.90720000e-06,-1.23479302e-04
-1.90560000e-06,-1.01437500e+01,1.18000000e+03,-1.34375000e+00,,-1.90560000e-06,-1.26014027e-04
-1.90400000e-06,-1.01953125e+01,1.17796875e+03,-5.31250000e-01,,-1.90400000e-06,-1.27783162e-04
-1.90240000e-06,-1.01953125e+01,1.18015625e+03,-6.25000000e-01,,-1.90240000e-06,-1.28873871e-04
-1.90080000e-06,-1.01140625e+01,1.17718750e+03,-5.62500000e-01,,-1.90080000e-06,-1.29993685e-04
-1.89920000e-06,-1.01390625e+01,1.17695312e+03,4.68750000e-02,,-1.89920000e-06,-1.30479282e-04
-1.89760000e-06,-1.01359375e+01,1.17289062e+03,-7.81250000e-02,,-1.89760000e-06,-1.30508459e-04
-1.89600000e-06,-1.01765625e+01,1.17718750e+03,-5.15625000e-01,,-1.89600000e-06,-1.31067354e-04
-1.89440000e-06,-1.01968750e+01,1.17664062e+03,-6.09375000e-01,,-1.89440000e-06,-1.32126559e-04
-1.89280000e-06,-1.01765625e+01,1.17843750e+03,-3.43750000e-01,,-1.89280000e-06,-1.33024238e-04
-1.89120000e-06,-1.01296875e+01,1.17773438e+03,-8.43750000e-01,,-1.89120000e-06,-1.34143280e-04
-1.88960000e-06,-1.01078125e+01,1.17593750e+03,-1.09375000e+00,,-1.88960000e-06,-1.35967202e-04
-1.88800000e-06,-1.00906250e+01,1.17703125e+03,4.84375000e-01,,-1.88800000e-06,-1.36540053e-04
-1.88640000e-06,-1.01765625e+01,1.17867188e+03,3.12500000e-02,,-1.88640000e-06,-1.36054485e-04
-1.88480000e-06,-1.01859375e+01,1.17671875e+03,-3.59375000e-01,,-1.88480000e-06,-1.36363320e-04
-1.88320000e-06,-1.01437500e+01,1.17671875e+03,-6.09375000e-01,,-1.88320000e-06,-1.37275274e-04
-1.88160000e-06,-1.02109375e+01,1.18156250e+03,-1.34375000e+00,,-1.88160000e-06,-1.39119104e-04
-1.88000000e-06,-1.02031250e+01,1.17804688e+03,-7.18750000e-01,,-1.88000000e-06,-1.41066659e-04
-1.87840000e-06,-1.00812500e+01,1.17593750e+03,-4.06250000e-01,,-1.87840000e-06,-1.42126213e-04
-1.87680000e-06,-1.01625000e+01,1.17492188e+03,-7.81250000e-01,,-1.87680000e-06,-1.43242723e-04
-1.87520000e-06,-1.02250000e+01,1.18140625e+03,-4.53125000e-01,,-1.87520000e-06,-1.44405305e-04
-1.87360000e-06,-1.01609375e+01,1.17976562e+03,-1.23437500e+00,,-1.87360000e-06,-1.45998580e-04
-1.87200000e-06,-1.00734375e+01,1.17796875e+03,-5.15625000e-01,,-1.87200000e-06,-1.47649509e-04
-1.87040000e-06,-1.01421875e+01,1.18117188e+03,-1.17187500e+00,,-1.87040000e-06,-1.49242769e-04
-1.86880000e-06,-1.00593750e+01,1.18328125e+03,-1.09375000e+00,,-1.86880000e-06,-1.51385495e-04
-1.86720000e-06,-1.00531250e+01,1.18273438e+03,-8.90625000e-01,,-1.86720000e-06,-1.53263565e-04
-1.86560000e-06,-1.00640625e+01,1.17804688e+03,-1.04687500e+00,,-1.86560000e-06,-1.55092872e-04
-1.86400000e-06,-1.00484375e+01,1.18234375e+03,-1.40625000e+00,,-1.86400000e-06,-1.57409624e-04
-1.86240000e-06,-1.01703125e+01,1.18179688e+03,-1.42187500e+00,,-1.86240000e-06,-1.60084048e-04
-1.86080000e-06,-1.01125000e+01,1.18203125e+03,-3.28125000e-01,,-1.86080000e-06,-1.61738630e-04
-1.85920000e-06,-1.01421875e+01,1.18171875e+03,-2.03125000e-01,,-1.85920000e-06,-1.62240947e-04
-1.85760000e-06,-1.01421875e+01,1.18070312e+03,-8.75000000e-01,,-1.85760000e-06,-1.63259465e-04
-1.85600000e-06,-1.00515625e+01,1.17335938e+03,-1.46875000e+00,,-1.85600000e-06,-1.65464648e-04
-1.85440000e-06,-1.00796875e+01,1.17984375e+03,-1.46875000e+00,,-1.85440000e-06,-1.68229657e-04
-1.85280000e-06,-1.01265625e+01,1.17984375e+03,-1.32812500e+00,,-1.85280000e-06,-1.70869564e-04
-1.85120000e-06,-1.01250000e+01,1.17710938e+03,-2.00000000e+00,,-1.85120000e-06,-1.74006520e-04
-1.84960000e-06,-1.01140625e+01,1.17687500e+03,-1.17187500e+00,,-1.84960000e-06,-1.76993213e-04
-1.84800000e-06,-1.00218750e+01,1.18093750e+03,-4.68750000e-01,,-1.84800000e-06,-1.78539383e-04
-1.84640000e-06,-1.00937500e+01,1.17562500e+03,-1.25000000e+00,,-1.84640000e-06,-1.80157862e-04
-1.84480000e-06,-1.00359375e+01,1.17585938e+03,-1.40625000e+00,,-1.84480000e-06,-1.82656324e-04
-1.84320000e-06,-1.00843750e+01,1.17484375e+03,-1.31250000e+00,,-1.84320000e-06,-1.85212746e-04
-1.84160000e-06,-1.00453125e+01,1.18046875e+03,-9.84375000e-01,,-1.84160000e-06,-1.87375947e-04
-1.84000000e-06,-1.01421875e+01,1.17882812e+03,-1.60937500e+00,,-1.84000000e-06,-1.89823302e-04
-1.83840000e-06,-1.00562500e+01,1.17960938e+03,-1.29687500e+00,,-1.83840000e-06,-1.92564883e-04
-1.83680000e-06,-1.00765625e+01,1.17890625e+03,-1.64062500e+00,,-1.83680000e-06,-1.95336048e-04
-1.83520000e-06,-1.01234375e+01,1.17828125e+03,-1.87500000e+00,,-1.83520000e-06,-1.98650785e-04
-1.83360000e-06,-1.00421875e+01,1.18078125e+03,-1.90625000e+00,,-1.83360000e-06,-2.02218900e-04
-1.83200000e-06,-1.01578125e+01,1.17890625e+03,-1.15625000e+00,,-1.83200000e-06,-2.05110075e-04
-1.83040000e-06,-1.00734375e+01,1.17804688e+03,-1.98437500e+00,,-1.83040000e-06,-2.08070705e-04
-1.82880000e-06,-1.00875000e+01,1.18132812e+03,-2.50000000e+00,,-1.82880000e-06,-2.12303508e-04
-1.82720000e-06,-1.01015625e+01,1.17570312e+03,-1.82812500e+00,,-1.82720000e-06,-2.16385626e-04
-1.82560000e-06,-1.01312500e+01,1.17828125e+03,-1.78125000e+00,,-1.82560000e-06,-2.19784139e-04
-1.82400000e-06,-1.01734375e+01,1.17976562e+03,-2.46875000e+00,,-1.82400000e-06,-2.23793220e-04
-1.82240000e-06,-1.01390625e+01,1.17914062e+03,-1.76562500e+00,,-1.82240000e-06,-2.27788798e-04
-1.82080000e-06,-1.01328125e+01,1.17765625e+03,-1.71875000e+00,,-1.82080000e-06,-2.31073616e-04
-1.81920000e-06,-1.00968750e+01,1.18000000e+03,-2.51562500e+00,,-1.81920000e-06,-2.35067637e-04
-1.81760000e-06,-1.01421875e+01,1.18023438e+03,-1.81250000e+00,,-1.81760000e-06,-2.39153727e-04
-1.81600000e-06,-1.01156250e+01,1.17257812e+03,-1.54687500e+00,,-1.81600000e-06,-2.42316135e-04
